wavelength,Rs,Rp,Ts,Tp
400.0,0.08414121396602306,0.0690778270968383,0.9158587860339776,0.9309221729031634
410.0,0.09762224072887737,0.08035200836302571,0.9023777592711213,0.9196479916369736
420.0,0.035190583786147,0.028550731603013545,0.9648094162138543,0.9714492683969869
430.0,0.0011108850052864618,0.0009354374264723657,0.9988891149947137,0.9990645625735282
440.0,0.055688320677402946,0.045933195859983525,0.9443116793225971,0.9540668041400168
450.0,0.1130597654050389,0.09420757962854483,0.886940234594961,0.9057924203714546
460.0,0.10378843158563235,0.08644214817344481,0.8962115684143676,0.913557851826554
470.0,0.04014754595317886,0.03315991520257716,0.9598524540468206,0.9668400847974221
480.0,1.0765985986249294e-05,6.626729968806123e-06,0.9999892340140129,0.9999933732700322
490.0,0.045930338202784346,0.03792136807628719,0.9540696617972153,0.9620786319237122
500.0,0.12705224588253486,0.10726005776417127,0.8729477541174658,0.8927399422358296
510.0,0.1631818191072435,0.14011865108045202,0.8368181808927563,0.8598813489195488
520.0,0.12214635291608623,0.10670974092645562,0.8778536470839132,0.8932902590735442
530.0,0.028603868124928194,0.027640944192450275,0.9713961318750718,0.9723590558075499
540.0,0.021258834794053803,0.012783542794906039,0.9787411652059457,0.9872164572050945
550.0,0.23520538779761616,0.18429290954389535,0.7647946122023845,0.815707090456105
560.0,0.5063242466653377,0.43791474409113296,0.4936757533346633,0.5620852559088682
570.0,0.6873113899603198,0.6284794996166537,0.3126886100396799,0.3715205003833479
580.0,0.7879221288269206,0.7421243117085785,0.2120778711730787,0.2578756882914214
590.0,0.8429493609889355,0.806649907337436,0.1570506390110652,0.1933500926625636
600.0,0.8734780671530655,0.8431510819896159,0.1265219328469348,0.15684891801038314
610.0,0.8900606225224422,0.8631580913659262,0.10993937747755751,0.13684190863407397
620.0,0.8978071266001019,0.8725013680326952,0.10219287339989813,0.12749863196730515
630.0,0.8990648460640119,0.8739176560465863,0.1009351539359877,0.12608234395341367
640.0,0.8946160647875057,0.8683262374615724,0.10538393521249466,0.13167376253842847
650.0,0.884135231481983,0.8553427195079985,0.115864768518017,0.14465728049200235
660.0,0.8662337989801613,0.8333510292010745,0.13376620101983877,0.1666489707989246
670.0,0.8381998504571979,0.7992715634605991,0.1618001495428014,0.20072843653940173
680.0,0.7954503210747982,0.7481235964748039,0.20454967892520215,0.25187640352519514
690.0,0.7307945161323022,0.6726894199785719,0.2692054838676974,0.32731058002142804
700.0,0.6341871911855281,0.5644044670691276,0.36581280881447237,0.4355955329308731
710.0,0.49559415388726835,0.4184556599666895,0.5044058461127324,0.5815443400333099
720.0,0.3170285891288194,0.2468491895337534,0.6829714108711792,0.7531508104662473
730.0,0.13491449307355136,0.09188114341152977,0.8650855069264493,0.9081188565884705
740.0,0.018671427803647566,0.008085147848459205,0.9813285721963527,0.9919148521515406
750.0,0.00727586234863708,0.011396799876997278,0.9927241376513636,0.9886032001230038
760.0,0.06958267645028487,0.0693105825014382,0.9304173235497171,0.9306894174985639
770.0,0.15292646206111646,0.1413142503241086,0.8470735379388842,0.8586857496758924
780.0,0.22602371242632713,0.2039789239151636,0.7739762875736723,0.7960210760848345
790.0,0.2786504988903534,0.24907880073005922,0.7213495011096457,0.7509211992699404
800.0,0.3102061340333048,0.27570462191779277,0.689793865966695,0.7242953780822063
